application,repetition,multiplier,route,operation,query_repetition,nanoseconds
deathstarbench_social_network,0,2,direct,read_user_timeline,6,4082
deathstarbench_social_network,0,2,direct,compose_post,7,4264
deathstarbench_social_network,0,2,direct,read_home_timeline,7,3051
deathstarbench_social_network,0,2,direct,read_user_timeline,7,3762
deathstarbench_social_network,0,2,direct,compose_post,8,4207
deathstarbench_social_network,0,2,direct,read_home_timeline,8,3293
deathstarbench_social_network,0,2,direct,read_user_timeline,8,3861
deathstarbench_social_network,0,2,direct,compose_post,9,4530
deathstarbench_social_network,0,2,direct,read_home_timeline,9,3182
deathstarbench_social_network,0,2,direct,read_user_timeline,9,3776
deathstarbench_social_network,0,2,direct,compose_post,10,4085
deathstarbench_social_network,0,2,direct,read_home_timeline,10,3021
deathstarbench_social_network,0,2,direct,read_user_timeline,10,3664
deathstarbench_social_network,0,2,direct,compose_post,11,4160
deathstarbench_social_network,0,2,direct,read_home_timeline,11,2822
deathstarbench_social_network,0,2,direct,read_user_timeline,11,3586
deathstarbench_social_network,0,2,direct,compose_post,12,4403
deathstarbench_social_network,0,2,direct,read_home_timeline,12,3070
deathstarbench_social_network,0,2,direct,read_user_timeline,12,3617
deathstarbench_social_network,0,2,direct,compose_post,13,4180
deathstarbench_social_network,0,2,direct,read_home_timeline,13,2954
deathstarbench_social_network,0,2,direct,read_user_timeline,13,3747
deathstarbench_social_network,0,2,direct,compose_post,14,4018
deathstarbench_social_network,0,2,direct,read_home_timeline,14,2871
deathstarbench_social_network,0,2,direct,read_user_timeline,14,3613
deathstarbench_social_network,0,2,direct,compose_post,15,4258
deathstarbench_social_network,0,2,direct,read_home_timeline,15,2890
deathstarbench_social_network,0,2,direct,read_user_timeline,15,3554
deathstarbench_social_network,0,2,direct,compose_post,16,4143
deathstarbench_social_network,0,2,direct,read_home_timeline,16,2801
deathstarbench_social_network,0,2,direct,read_user_timeline,16,3566
deathstarbench_social_network,0,2,direct,compose_post,17,4274
deathstarbench_social_network,0,2,direct,read_home_timeline,17,3388
deathstarbench_social_network,0,2,direct,read_user_timeline,17,3794
deathstarbench_social_network,0,2,direct,compose_post,18,4291
deathstarbench_social_network,0,2,direct,read_home_timeline,18,3335
deathstarbench_social_network,0,2,direct,read_user_timeline,18,3773
deathstarbench_social_network,0,2,direct,compose_post,19,4359
deathstarbench_social_network,0,2,direct,read_home_timeline,19,2932
deathstarbench_social_network,0,2,direct,read_user_timeline,19,3806
deathstarbench_social_network,0,2,direct,compose_post,20,4068
deathstarbench_social_network,0,2,direct,read_home_timeline,20,2845
deathstarbench_social_network,0,2,direct,read_user_timeline,20,3556
deathstarbench_social_network,0,2,direct,compose_post,21,4536
deathstarbench_social_network,0,2,direct,read_home_timeline,21,3013
deathstarbench_social_network,0,2,direct,read_user_timeline,21,3543
deathstarbench_social_network,0,2,direct,compose_post,22,4582
deathstarbench_social_network,0,2,direct,read_home_timeline,22,3523
deathstarbench_social_network,0,2,direct,read_user_timeline,22,4041
deathstarbench_social_network,0,2,direct,compose_post,23,4532
deathstarbench_social_network,0,2,direct,read_home_timeline,23,3008
deathstarbench_social_network,0,2,direct,read_user_timeline,23,3832
deathstarbench_social_network,0,2,direct,compose_post,24,4290
deathstarbench_social_network,0,2,direct,read_home_timeline,24,3122
deathstarbench_social_network,0,2,direct,read_user_timeline,24,3683
deathstarbench_social_network,0,2,direct,compose_post,25,4192
deathstarbench_social_network,0,2,direct,read_home_timeline,25,3102
deathstarbench_social_network,0,2,direct,read_user_timeline,25,3759
deathstarbench_social_network,0,2,direct,compose_post,26,4037
deathstarbench_social_network,0,2,direct,read_home_timeline,26,2968
deathstarbench_social_network,0,2,direct,read_user_timeline,26,3850
deathstarbench_social_network,0,2,direct,compose_post,27,4286
deathstarbench_social_network,0,2,direct,read_home_timeline,27,2904
deathstarbench_social_network,0,2,direct,read_user_timeline,27,3644
deathstarbench_social_network,0,2,direct,compose_post,28,4274
deathstarbench_social_network,0,2,direct,read_home_timeline,28,3070
deathstarbench_social_network,0,2,direct,read_user_timeline,28,3750
deathstarbench_social_network,0,2,direct,compose_post,29,4200
deathstarbench_social_network,0,2,direct,read_home_timeline,29,3085
deathstarbench_social_network,0,2,direct,read_user_timeline,29,3841
deathstarbench_social_network,0,2,direct,compose_post,30,4314
deathstarbench_social_network,0,2,direct,read_home_timeline,30,3069
