level,profile,scope,mode,view,comparator,operation,expected_operation_cells,common_operation_cells,expected_campaigns,paired_campaigns,proposed_issued_cells,comparator_issued_cells,absolute_error_pp_difference,absolute_error_pp_difference_lower95,absolute_error_pp_difference_upper95,brier_score_difference,brier_score_difference_lower95,brier_score_difference_upper95,signed_error_pp_difference,signed_error_pp_difference_lower95,signed_error_pp_difference_upper95,represented_strata,minimum_pairs_per_stratum
operation,deathstarbench_social_network,current,no_joint_health,stable,B2,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
operation,deathstarbench_social_network,current,no_joint_health,stable,B2,read_user_timeline,80,65,80,65,65,65,0.8236666152018206,0.4671056246736092,1.156047743549811,0.0006130618799030645,0.000393168236135726,0.0008227685655672288,1.8376473424475563,1.729615342986065,1.94249577817603,8,3
operation,deathstarbench_social_network,current,no_joint_health,stable,B3,compose_post,80,65,80,65,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3
operation,deathstarbench_social_network,current,no_joint_health,stable,B3,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
operation,deathstarbench_social_network,current,no_joint_health,stable,B3,read_user_timeline,80,65,80,65,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3
operation,deathstarbench_social_network,current,no_joint_health,stable,B4,compose_post,80,0,80,0,65,0,,,,,,,,,,0,0
operation,deathstarbench_social_network,current,no_joint_health,stable,B4,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
operation,deathstarbench_social_network,current,no_joint_health,stable,B4,read_user_timeline,80,0,80,0,65,0,,,,,,,,,,0,0
operation,deathstarbench_social_network,current,sampled_mixed,all_sequence,B0,compose_post,80,65,80,65,65,80,1.450246784342812,0.8934935258021339,1.976714775425577,0.0011035309979552396,0.000734432194328297,0.0014750723558025272,3.1946026144529522,2.9202201550212905,3.473558131525955,8,3
operation,deathstarbench_social_network,current,sampled_mixed,all_sequence,B0,read_home_timeline,80,80,80,80,80,80,0.5756519772617485,0.5756519772617485,0.5756519772617485,3.793062544842086e-05,3.7930625448420856e-05,3.7930625448420856e-05,-0.5756519772617485,-0.5756519772617485,-0.5756519772617485,8,10
operation,deathstarbench_social_network,current,sampled_mixed,all_sequence,B0,read_user_timeline,80,65,80,65,65,80,4.789572208243841,4.247216917159213,5.31642251902169,0.004425874169143794,0.003779222073969839,0.005087322075523064,6.423001072087463,6.2014347500014395,6.650809635982868,8,3
operation,deathstarbench_social_network,current,sampled_mixed,all_sequence,B1,compose_post,80,65,80,65,65,65,-0.20353912784774914,-0.4162336612923624,0.0018573937347086133,-0.00036447910390737285,-0.0006961552318605275,-9.80818307503273e-05,-0.12449860373653863,-0.3283344637703472,0.07149357577604408,8,3
operation,deathstarbench_social_network,current,sampled_mixed,all_sequence,B1,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
