profile,scope,mode,view,method,operation,expected_campaigns,issued_campaigns,coverage,all_test_requests,issued_test_requests,observed_all,observed_issued,prediction,signed_error_pp,signed_error_pp_lower95,signed_error_pp_upper95,absolute_error_pp,absolute_error_pp_lower95,absolute_error_pp_upper95,brier_score,brier_score_lower95,brier_score_upper95,represented_strata,minimum_issued_campaigns_per_stratum,absolute_error_median_pp,absolute_error_p90_pp,absence_reasons
deathstarbench_social_network,current,no_joint_health,all_sequence,B3,compose_post,80,65,0.8125,96000,78000,0.8916145833333333,0.8918664434523809,0.9285135777187825,3.6647134266401595,3.1992601682025916,4.11909823458977,3.666985819637168,3.1957311760569596,4.118708894105233,0.09635245688189933,0.09332322722552698,0.09943480189011472,8,3,3.26558535064998,6.253122346264777,"{""topology_ambiguous_target_fraction"": 15}"
deathstarbench_social_network,current,no_joint_health,all_sequence,B3,read_home_timeline,80,80,1.0,96000,96000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,8,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,no_joint_health,all_sequence,B3,read_user_timeline,80,65,0.8125,96000,78000,0.8610729166666666,0.8603313492063491,0.9285135777187825,6.818222851243335,6.3502711447166345,7.286162020800707,6.818222851243335,6.341817112618593,7.284043777436007,0.1234750865897199,0.12013642522546686,0.12690447095083704,8,3,6.433887080675738,9.425456679725384,"{""topology_ambiguous_target_fraction"": 15}"
deathstarbench_social_network,current,no_joint_health,all_sequence,B4,compose_post,80,0,0.0,96000,0,0.8916145833333333,,,,,,,,,,,,0,0,,,"{""insufficient_complete_path_ticks"": 65, ""topology_ambiguous_target_fraction"": 15}"
deathstarbench_social_network,current,no_joint_health,all_sequence,B4,read_home_timeline,80,80,1.0,96000,96000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,8,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,no_joint_health,all_sequence,B4,read_user_timeline,80,0,0.0,96000,0,0.8610729166666666,,,,,,,,,,,,0,0,,,"{""insufficient_complete_path_ticks"": 65, ""topology_ambiguous_target_fraction"": 15}"
deathstarbench_social_network,current,no_joint_health,all_sequence,proposed,compose_post,80,65,0.8125,96000,78000,0.8916145833333333,0.8918664434523809,0.9285135777187825,3.6647134266401595,3.187605431304568,4.139906154081825,3.666985819637168,3.1833212290369466,4.13159379374305,0.09635245688189933,0.09342447330619053,0.09939414453054428,8,3,3.26558535064998,6.253122346264777,"{""topology_ambiguous_target_fraction"": 15}"
deathstarbench_social_network,current,no_joint_health,all_sequence,proposed,read_home_timeline,80,80,1.0,96000,96000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,8,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,no_joint_health,all_sequence,proposed,read_user_timeline,80,65,0.8125,96000,78000,0.8610729166666666,0.8603313492063491,0.9285135777187825,6.818222851243335,6.344712756010077,7.291273609802721,6.818222851243335,6.361894376088051,7.284569374050265,0.1234750865897199,0.12014489883936938,0.12688031674862832,8,3,6.433887080675738,9.425456679725384,"{""topology_ambiguous_target_fraction"": 15}"
deathstarbench_social_network,current,no_joint_health,stable,B0,compose_post,80,80,1.0,72396,72396,0.926931573077119,0.926931573077119,0.8928393005828477,-3.4092272494271403,-3.9265458420487604,-2.872250763146077,3.4809332296390183,2.9694591819599383,3.9770993849819685,0.06786844091551784,0.06527078536192617,0.07061395697595763,8,10,3.000756904570978,7.302038149005086,{}
deathstarbench_social_network,current,no_joint_health,stable,B0,read_home_timeline,80,80,1.0,72399,72399,1.0,1.0,0.9995836802664446,-0.04163197335553814,-0.04163197335553814,-0.04163197335553814,0.04163197335553814,0.04163197335553814,0.04163197335553814,1.733221205476238e-07,1.733221205476238e-07,1.7332212054762383e-07,8,10,0.04163197335553814,0.04163197335553814,{}
deathstarbench_social_network,current,no_joint_health,stable,B0,read_user_timeline,80,80,1.0,72553,72553,0.8953835020141986,0.8953835020141986,0.8603767693588676,-3.5006732655330977,-3.9323671685476236,-3.0581474422849086,3.5335716581431926,3.115097816021628,3.961905363918398,0.0938169073290147,0.09152341101394217,0.0961488610356475,8,10,3.152399860031041,6.65273894358289,{}
deathstarbench_social_network,current,no_joint_health,stable,B1,compose_post,80,65,0.8125,72396,59636,0.926931573077119,0.9268292477706316,0.9285341316540938,0.17048838834622745,-0.32634936768282663,0.6573593261749149,2.153546579493932,1.774053692737219,2.540119673410113,0.06687003325427789,0.06350729977533694,0.07016541127631556,8,3,1.5268614638592415,5.513052310475269,"{""topology_ambiguous_target_fraction"": 15}"
deathstarbench_social_network,current,no_joint_health,stable,B1,read_home_timeline,80,80,1.0,72399,72399,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.810394756896849e-05,8,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,no_joint_health,stable,B1,read_user_timeline,80,65,0.8125,72553,59844,0.8953835020141986,0.8942592234534172,0.9285341316540938,3.4274908200676566,2.981857964205161,3.8659188982846713,3.7353076847948814,3.4010849626380986,4.072290907725807,0.0947383625648511,0.09160697437622847,0.09806530994503676,8,3,3.4971320844676024,6.777634769840997,"{""topology_ambiguous_target_fraction"": 15}"
deathstarbench_social_network,current,no_joint_health,stable,B2,compose_post,80,65,0.8125,72396,59636,0.926931573077119,0.9268292477706316,0.910137104294307,-1.6692143476324564,-2.158284523875285,-1.191628402226093,2.1852813183223074,1.812885458783161,2.570870127190876,0.06689784555399017,0.06374476694134097,0.07024542318638878,8,3,1.5268614638592415,5.738927520033622,"{""topology_ambiguous_target_fraction"": 15}"
deathstarbench_social_network,current,no_joint_health,stable,B2,read_home_timeline,80,80,1.0,72399,72399,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.810394756896849e-05,8,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,no_joint_health,stable,B2,read_user_timeline,80,65,0.8125,72553,59844,0.8953835020141986,0.8942592234534172,0.910137104294307,1.5877880840889729,1.1543247013367766,2.0198524021243562,2.710480025612073,2.404373489714726,3.030953341266332,0.0939658788182579,0.09084031166105372,0.09714341550859792,8,3,2.596969823901596,4.571696321657996,"{""topology_ambiguous_target_fraction"": 15}"
