profile,case_id,phase,functional,lower_exact,upper_exact,status
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,execution,557/600,557/600,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,reachability_minus_execution,43/600,43/600,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,selected,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,selected_minus_execution,43/600,43/600,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,without_completion,557/600,557/600,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,without_deadline,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,without_deadline_minus_execution,43/600,43/600,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,without_selection,557/600,557/600,singleton_given_empirical_observation_law
