profile,case_id,method,round,returncode,timed_out,wall_seconds,cpu_seconds,peak_rss_mib
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,storm_exact,1,0,False,0.26,0.26,94.6953125
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,prepared_specialized,1,0,False,0.13,0.12000000000000001,36.19140625
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,cudd_sift_once,1,0,False,0.25,0.25,76.79296875
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,agrum_lazy,1,0,False,0.15,0.13999999999999999,47.54296875
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,storm_exact,1,0,False,0.23,0.22,93.07421875
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,prepared_specialized,1,0,False,0.11,0.11,35.953125
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,cudd_controls_first,1,0,False,0.25,0.25,77.1328125
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,agrum_lazy,1,0,False,0.3,0.29000000000000004,48.234375
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,storm_exact,1,0,False,0.25,0.24,94.828125
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,prepared_specialized,1,0,False,0.12,0.12000000000000001,36.1875
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,cudd_controls_first,1,0,False,0.26,0.25,77.1640625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,cudd_sift_once,1,0,False,0.27,0.26,77.05859375
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,storm_exact,1,0,False,0.23,0.22,93.30078125
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,prepared_specialized,1,0,False,0.11,0.11,36.05859375
