profile,case_id,method,round,phase,status,total_ms,cpu_ms,key_check_ms,construction_ms,data_update_ms,inference_and_validation_ms,reconstructed,error
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,storm_exact,0,repeat,qualified,0.40089,0.403173,0.037861,0.0,0.001833,0.360024,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,storm_exact,0,counts,qualified,0.346177,0.348541,0.03215,0.0,0.001322,0.311423,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,storm_exact,0,masks,qualified,2.024016,2.026356,0.032211,0.0,1.389849,0.600554,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,storm_exact,0,metadata,qualified,0.575586,0.57782,0.030406,0.0,0.001412,0.542575,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,storm_exact,0,structure,qualified,1.917447,1.919847,0.033834,1.32006,0.001463,0.560438,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,storm_exact,0,restore,qualified,1.487211,1.489624,0.031118,1.11766,0.001322,0.335418,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,prepared_specialized,0,initial,qualified,0.423362,0.428571,0.044023,0.193933,0.0,0.183884,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,prepared_specialized,0,repeat,qualified,0.169116,0.171069,0.031609,0.0,0.0,0.136585,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,prepared_specialized,0,counts,qualified,0.153146,0.15506,0.028023,0.0,0.0,0.124283,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,prepared_specialized,0,masks,qualified,0.14948,0.151332,0.029485,0.0,0.0,0.119103,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,prepared_specialized,0,metadata,qualified,0.145973,0.147686,0.025327,0.0,0.0,0.119864,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,prepared_specialized,0,structure,qualified,0.248054,0.249877,0.025668,0.097492,0.0,0.124002,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,prepared_specialized,0,restore,qualified,0.268482,0.270526,0.029105,0.118382,0.0,0.119965,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,cudd_controls_first,0,initial,qualified,5.190429,5.198674,0.051426,4.92343,0.0,0.2142,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,cudd_controls_first,0,repeat,qualified,0.222296,0.224649,0.043281,0.0,0.0,0.177412,False,
