profile,case_id,phase,method,paired_rounds,other_over_prepared_median,min_ratio,max_ratio
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,counts,cudd_sift_once,3,1.0614675693884599,1.044523813479077,1.0639461800681234
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,counts,agrum_lazy,3,34.53759339812045,33.78465294371516,34.58884794923335
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,counts,storm_exact,3,2.5761788090751114,2.5604119806634884,2.6157136572598985
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,masks,cudd_controls_first,3,1.0944565415681753,1.0943235610965965,1.1399145477338632
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,masks,cudd_sift_once,3,1.0881132947312038,1.0572420369227504,1.0945105854130057
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,masks,agrum_lazy,3,37.24298076736611,36.43526162779415,38.14253484021022
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,masks,storm_exact,3,5.274383408830609,5.1751728206740495,5.292632137844241
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,metadata,cudd_controls_first,3,1.0289040894620847,1.0255679755875757,1.0576107380742317
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,metadata,cudd_sift_once,3,1.04687737165197,1.0373305036323566,1.056071820636984
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,metadata,agrum_lazy,3,33.19637179319657,33.190778875193864,34.45226123207683
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,metadata,storm_exact,3,2.5046486028453883,2.4763856011754144,2.590049231888255
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,structure,cudd_controls_first,3,3.002735897343505,2.9687794647856394,3.0406496672801406
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,structure,cudd_sift_once,3,3.42512053621259,3.415869420160811,3.569528489994645
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,structure,agrum_lazy,3,13.962381267406627,13.614205046432545,14.428621035644248
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,structure,storm_exact,3,3.5024339449189172,3.4668837903509044,3.514124947479516
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,restore,cudd_controls_first,3,2.4972258518757893,2.4678043097214246,2.53821880147084
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,restore,cudd_sift_once,3,2.8945309361338687,2.891652889594525,2.91875585736214
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,restore,agrum_lazy,3,23.119365256540785,22.506979266793838,23.19744808034258
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,restore,storm_exact,3,2.9181052583923055,2.86118282241817,2.92123579832927
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,initial,cudd_controls_first,3,13.265285810356422,12.901515845626037,13.410645327543751
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,initial,cudd_sift_once,3,15.837374670414624,15.726037781989362,15.940987386616987
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,initial,agrum_lazy,3,11.862886723879914,11.585405636730451,12.1220866395612
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,initial,storm_exact,3,5.573201396736198,5.541598093820103,5.692716268264352
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,repeat,cudd_controls_first,3,1.0677448741762596,1.0241690575221472,1.1835334983488601
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,repeat,cudd_sift_once,3,1.1341706197534218,0.9549610032676482,1.2167989777930268
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,repeat,agrum_lazy,3,13.58921240372443,12.341382692479165,13.715643590091979
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,repeat,storm_exact,3,2.263803935023603,1.9602217594947995,2.3684847912002223
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,counts,cudd_controls_first,3,1.08473435578852,1.041114015967477,1.2059344773790952
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,counts,cudd_sift_once,3,1.0642399534071054,1.0226088735194288,1.0677067082683307
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,counts,agrum_lazy,3,14.45833945910012,14.40804368174727,14.461528505791756
