application,placement,law,repetition,operation,status,attempts,successes,lower_exact,upper_exact,b0_exact,success_excluded,failure_excluded,incompatible_attempts,incompatible_fraction,fully_observed_attempts,fully_observed_mismatches,ambiguous_attempts,aggregate_excess_above_upper_count,aggregate_deficit_below_lower_count,aggregate_contains_b0,incompatible_despite_aggregate_containment,ablation_without_selection_incompatible_attempts
deathstarbench_social_network,split,N,3,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,3,read_user_timeline,audited,1200,1105,221/240,221/240,221/240,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,4,compose_post,audited,1200,1126,563/600,563/600,563/600,0,0,0,0.0,1199,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,4,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,4,read_user_timeline,audited,1200,1093,1093/1200,1093/1200,1093/1200,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,5,compose_post,audited,1200,1127,1127/1200,1127/1200,1127/1200,0,0,0,0.0,1199,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,5,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,5,read_user_timeline,audited,1200,1117,1117/1200,1117/1200,1117/1200,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,6,compose_post,audited,1200,1145,229/240,229/240,229/240,0,0,0,0.0,1199,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,6,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,6,read_user_timeline,audited,1200,1090,109/120,109/120,109/120,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,7,compose_post,audited,1200,1147,1147/1200,1147/1200,1147/1200,0,0,0,0.0,1199,0,0,0,0,True,False,0
