application,placement,law,repetition,operation,affected_attempts,ambiguities_resolved,ambiguous_attempts,attempts,compatible_fraction,failure_excluded,fully_observed_states,hidden_native_coordinates,identified_lower,identified_upper,information,known_native_coordinates,lower_count,mechanism,missing_fraction_requested,partially_masked_attempts,point_identified_attempts,point_identified_fraction,revealed_attempts,revealed_native_coordinates,success_excluded,successes,upper_count,whole_attempt_boundary_partial_row,width
deathstarbench_social_network,split,N,0,compose_post,120,0,116,1200,1.0,0,0,1792,0.8525,0.9491666666666667,none,17926,1023,whole_native_attempt,0.1,1,1084,0.9033333333333333,0,0,0,1139,1139,True,0.09666666666666666
deathstarbench_social_network,split,N,0,compose_post,120,0,116,1200,1.0,0,0,1792,0.8525,0.9491666666666667,selection_and_admission,17926,1023,whole_native_attempt,0.1,1,1084,0.9033333333333333,120,355,0,1139,1139,True,0.09666666666666666
deathstarbench_social_network,split,N,0,compose_post,120,0,116,1200,1.0,0,0,1792,0.8525,0.9491666666666667,entry_result,17926,1023,whole_native_attempt,0.1,1,1084,0.9033333333333333,120,120,0,1139,1139,True,0.09666666666666666
deathstarbench_social_network,split,N,0,compose_post,120,0,116,1200,1.0,0,0,1792,0.8525,0.9491666666666667,required_completions,17926,1023,whole_native_attempt,0.1,1,1084,0.9033333333333333,120,1317,0,1139,1139,True,0.09666666666666666
deathstarbench_social_network,split,N,0,compose_post,120,116,0,1200,1.0,0,0,1792,0.9491666666666667,0.9491666666666667,all_native,17926,1139,whole_native_attempt,0.1,1,1200,1.0,120,1792,0,1139,1139,True,0.0
deathstarbench_social_network,split,N,0,compose_post,300,0,288,1200,1.0,0,0,4481,0.7091666666666666,0.9491666666666667,none,17926,851,whole_native_attempt,0.25,1,912,0.76,0,0,0,1139,1139,True,0.24
deathstarbench_social_network,split,N,0,compose_post,300,0,288,1200,1.0,0,0,4481,0.7091666666666666,0.9491666666666667,selection_and_admission,17926,851,whole_native_attempt,0.25,1,912,0.76,300,887,0,1139,1139,True,0.24
deathstarbench_social_network,split,N,0,compose_post,300,0,288,1200,1.0,0,0,4481,0.7091666666666666,0.9491666666666667,entry_result,17926,851,whole_native_attempt,0.25,1,912,0.76,299,299,0,1139,1139,True,0.24
deathstarbench_social_network,split,N,0,compose_post,300,0,288,1200,1.0,0,0,4481,0.7091666666666666,0.9491666666666667,required_completions,17926,851,whole_native_attempt,0.25,1,912,0.76,300,3295,0,1139,1139,True,0.24
deathstarbench_social_network,split,N,0,compose_post,300,288,0,1200,1.0,0,0,4481,0.9491666666666667,0.9491666666666667,all_native,17926,1139,whole_native_attempt,0.25,1,1200,1.0,300,4481,0,1139,1139,True,0.0
deathstarbench_social_network,split,N,0,compose_post,600,0,566,1200,1.0,0,0,8963,0.4775,0.9491666666666667,none,17926,573,whole_native_attempt,0.5,1,634,0.5283333333333333,0,0,0,1139,1139,True,0.4716666666666667
deathstarbench_social_network,split,N,0,compose_post,600,0,566,1200,1.0,0,0,8963,0.4775,0.9491666666666667,selection_and_admission,17926,573,whole_native_attempt,0.5,1,634,0.5283333333333333,600,1766,0,1139,1139,True,0.4716666666666667
deathstarbench_social_network,split,N,0,compose_post,600,0,566,1200,1.0,0,0,8963,0.4775,0.9491666666666667,entry_result,17926,573,whole_native_attempt,0.5,1,634,0.5283333333333333,600,600,0,1139,1139,True,0.4716666666666667
