profile,case_id,method,execution_status,cold_ratio_specialized_over_bdd_median,cold_ratio_min,cold_ratio_max,warm_ratio_specialized_over_bdd_median,warm_ratio_min,warm_ratio_max,specialized_cold_median_ms,bdd_cold_median_ms,specialized_warm_median_ms,bdd_warm_median_ms
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r4--list_vets,controls_first,singleton_given_empirical_observation_law,0.04487807497543242,0.040617238058771085,0.05170235920828897,1.2544059028072259,1.1547147958691246,1.3015312030140158,0.188923,4.651301,0.147907,0.11791
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r4--list_vets,structural,singleton_given_empirical_observation_law,0.04108608019096068,0.03987191707246433,0.0441909195952467,1.2602953331231521,1.1411947060927625,1.2904693363491493,0.188923,4.62669,0.147907,0.117359
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r4--list_vets,sift_once,singleton_given_empirical_observation_law,0.03341495920033181,0.03259290014531866,0.03651135362578742,1.2298203685143783,1.1955848711917292,1.2410375143160826,0.188923,5.659975,0.147907,0.121367
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r4--owner_details_with_visits,controls_first,singleton_given_empirical_observation_law,0.36024009457096473,0.344953949955967,0.3627637782378868,1.15027527936236,1.143750388464168,1.1595752518569336,2.457523,6.807565,2.392234,2.090274
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r4--owner_details_with_visits,structural,singleton_given_empirical_observation_law,0.36177595198935625,0.35486297249111837,0.3621629539723562,1.1533907915189712,1.141154119977713,1.1779167877550267,2.457523,6.809837,2.392234,2.067584
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r4--owner_details_with_visits,sift_once,singleton_given_empirical_observation_law,0.309282905820052,0.2986669754814798,0.3134068289275572,1.1565804537683817,1.1222303133155667,1.1583350537535746,2.457523,7.945874,2.392234,2.092512
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r5--create_visit,controls_first,singleton_given_empirical_observation_law,0.3467932737018513,0.338860107022959,0.3490169046978424,1.1570969581167125,1.1485942964756524,1.1864781607359187,2.32711,6.713139,2.228117,1.927523
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r5--create_visit,structural,singleton_given_empirical_observation_law,0.3448738854186596,0.3407711882167169,0.3491356200814809,1.1480088862260407,1.1277533730860707,1.148640055712987,2.32711,6.690403,2.228117,1.942782
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r5--create_visit,sift_once,singleton_given_empirical_observation_law,0.29945876204734556,0.292266638229915,0.2997670249187756,1.1481375178034419,1.130923975059092,1.1717000262674022,2.32711,7.783355,2.228117,1.940636
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r5--list_owners,controls_first,singleton_given_empirical_observation_law,0.0446698570556891,0.04422064278627827,0.046278738710833996,1.2767755039341857,1.2374998978582927,1.3316933753520181,0.209302,4.685531,0.151444,0.119312
