campaign_id,job_role,attempt_id,input_bytes,native_bytes,ordinary_role_bytes,pmx_role_bytes,input_loading_seconds,combined_process_seconds,acquisition_process_seconds,shared_native_extraction_seconds,manual_integration_seconds,manual_reason,update_seconds,update_reason
v3-main-771601/deathstarbench_social_network/split/NC/1,graph,1,35990434,,,,0.39300114299999933,1.1669533299999983,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/NC/1,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/NC/2,acquisition,1,,58175533,36664200,36421600,,,2060.2956795090004,2.2402501790002134,,,,
v3-main-771601/deathstarbench_social_network/split/NC/2,graph,1,36663684,,,,0.426769445000005,1.4257941700000032,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/NC/2,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/NC/3,acquisition,1,,54933268,34334997,34092704,,,2056.951766934,1.3777481150000312,,,,
v3-main-771601/deathstarbench_social_network/split/NC/3,graph,1,34334481,,,,0.3948192399999897,1.2515247829999936,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/NC/3,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/NC/4,acquisition,1,,58398550,35940773,35698841,,,2059.583215691,2.1370140049998554,,,,
v3-main-771601/deathstarbench_social_network/split/NC/4,graph,1,35940257,,,,0.3291893580000078,0.9316409570000133,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/NC/4,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/NC/5,acquisition,1,,56761431,34843359,34601248,,,2058.6757986290004,1.8889964119998695,,,,
v3-main-771601/deathstarbench_social_network/split/NC/5,graph,1,34842843,,,,0.2815471549999984,0.5051993210000063,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/NC/5,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/NC/6,acquisition,1,,54822766,34591482,34349080,,,2058.899251277,1.9676134830001502,,,,
v3-main-771601/deathstarbench_social_network/split/NC/6,graph,1,34590966,,,,0.3257037250000039,0.5749444190000048,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/NC/6,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/NC/7,acquisition,1,,59098013,36702019,36460300,,,2060.139015284,2.254988658000002,,,,
v3-main-771601/deathstarbench_social_network/split/NC/7,graph,1,36701503,,,,0.4272793969999995,1.4611883980000044,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/NC/7,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/NC/8,acquisition,1,,57425359,36764821,36522931,,,2059.4640723919997,2.0257860380002057,,,,
v3-main-771601/deathstarbench_social_network/split/NC/8,graph,1,36764305,,,,0.4307589550000017,1.4639354420000004,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/NC/8,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/NC/9,acquisition,1,,58886641,36524997,36282164,,,2058.531399699,1.679380189999847,,,,
v3-main-771601/deathstarbench_social_network/split/NC/9,graph,1,36524481,,,,0.4196244959999973,1.4133046150000013,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/NC/9,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/ND/0,acquisition,1,,59193115,36799054,36557457,,,2060.421460648,2.3737215330002073,,,,
v3-main-771601/deathstarbench_social_network/split/ND/0,graph,1,36798538,,,,0.38822505300004195,1.2236527860000024,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/ND/0,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/ND/1,acquisition,1,,59167713,36779164,36537392,,,2059.864180325,2.1249394050000774,,,,
v3-main-771601/deathstarbench_social_network/split/ND/1,graph,1,36778648,,,,0.4670710090000014,1.537547035000003,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/ND/1,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/ND/2,acquisition,1,,59162798,36763234,36521530,,,2059.647162012,2.062536420000015,,,,
v3-main-771601/deathstarbench_social_network/split/ND/2,graph,1,36762718,,,,0.4176363739999829,1.4151056639999808,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/ND/2,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/ND/3,acquisition,1,,59135431,36734541,36493126,,,2058.048418151,1.6520909189998747,,,,
v3-main-771601/deathstarbench_social_network/split/ND/3,graph,1,36734025,,,,0.4413361249999923,1.430242120999992,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/ND/3,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/ND/4,acquisition,1,,59145176,36774466,36533242,,,2059.316551072,2.0072074370000337,,,,
v3-main-771601/deathstarbench_social_network/split/ND/4,graph,1,36773950,,,,0.35318760499999513,1.1373189749999995,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/ND/4,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/ND/5,acquisition,1,,59148679,36767092,36525402,,,2059.697609401,2.075744570999632,,,,
