campaign_id,job_role,attempt_id,scope,rss_scope,maximum_rss_bytes,path,system_seconds,user_seconds,wall_seconds,profile,run_id,shared_once_across_this_application
v3-main-771601/deathstarbench_social_network/colocated/N/9,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52137984.0,logs/compose-down.log.resource-usage.txt,0.04,0.09,11.06,,,
v3-main-771601/deathstarbench_social_network/colocated/N/9,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52559872.0,logs/services.log.resource-usage.txt,0.05,0.11,0.14,,,
v3-main-771601/deathstarbench_social_network/colocated/N/9,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51298304.0,pull-resource-usage.txt,0.09,0.14,19.46,,,
v3-main-771601/deathstarbench_social_network/colocated/N/9,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52568064.0,start-resource-usage.txt,0.04,0.14,8.28,,,
v3-main-771601/deathstarbench_social_network/colocated/N/9,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",219004928.0,build-resource-usage.txt,0.17,3.16,3.75,,,
v3-main-771601/deathstarbench_social_network/colocated/N/9,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",109518848.0,replay-resource-usage.txt,0.08,1.48,0.94,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",614690816.0,acquisition-resource-usage.txt,94.99,228.64,2072.28,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52080640.0,logs/compose-down.log.resource-usage.txt,0.03,0.1,11.0,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",54718464.0,logs/services.log.resource-usage.txt,0.06,0.14,0.16,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51433472.0,pull-resource-usage.txt,0.07,0.14,20.29,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/0,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52445184.0,start-resource-usage.txt,0.04,0.14,8.4,,,
