profile,case_id,phase,method,paired_rounds,original_over_projected,kernel_original_over_projected
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,agrum_conditioned,3,1.0056796382493483,1.0292655314970318
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,agrum_joint,3,0.9379142236757688,1.026429279470642
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,storm_sparse,3,0.6878918799610879,1.0572000431387227
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,storm_compact,3,0.5955921693943814,0.9202984503539315
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,ours_direct,3,0.816835576651098,1.0498539804266893
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,ours_prepared,3,0.7170474446664847,0.9506719169615073
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,cudd_fixed,3,0.779976539714153,1.075210431713128
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,cudd_sift,3,0.8007211970330826,1.0496994802605473
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,agrum_conditioned,3,0.9901876342845947,1.0137174181620259
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,agrum_joint,3,0.9464653193286308,1.0110734571142188
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,storm_sparse,3,0.7921738382099828,1.065536011935984
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,storm_compact,3,0.681321790096367,1.005385888111406
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,ours_direct,3,0.7824401933394879,0.9683145734985422
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,ours_prepared,3,0.7408277769422302,1.0038058829535013
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,cudd_fixed,3,0.9778090706030883,1.2951001565255296
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,cudd_sift,3,0.954701362337132,1.2756436046829287
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,agrum_conditioned,3,1.044453696927933,1.065058852855701
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,agrum_joint,3,1.0468237914737208,1.0765844998966594
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,storm_sparse,3,0.9788960848106831,1.0473408271118194
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,storm_compact,3,0.9589530698524487,1.0157825137937828
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,ours_direct,3,0.7868435596346227,1.0116228190678545
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,ours_prepared,3,0.755645925957142,1.0229952698632276
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,cudd_fixed,3,0.7941720264771512,1.0613562835851988
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,cudd_sift,3,0.76129973637866,1.00768970701425
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,agrum_conditioned,3,1.0023147287917928,1.0258554130841933
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,agrum_joint,3,0.9269754069439863,0.994910046949967
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,storm_sparse,3,0.8335868650807033,1.0100547617521107
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,storm_compact,3,0.8352550315045608,1.0086651139760494
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,structure,ours_direct,3,0.8510300163970534,1.0656722371595473
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,structure,ours_prepared,3,0.9467025949929189,1.0339248066968596
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,structure,cudd_fixed,3,0.7665673424650341,1.0147673000304362
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,structure,cudd_sift,3,0.929010515560919,1.136701672214252
