profile,case_id,method,representation,round,phase,status,total_ms,kernel_ms,cpu_ms,conversion_ms,key_check_ms,construction_ms,update_ms,query_including_update_ms,inference_ms,reconstructed,error
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_joint,original,0,counts,qualified,2.358202,2.353634,2.360749,0.004568,0.070482,0.0,0.002305,2.281518,2.279213,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_joint,original,0,masks,qualified,7.425203,7.424462,7.42775,0.000741,0.102803,0.0,2.644369,7.319906,4.675537,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_joint,original,0,metadata,qualified,2.33593,2.335038,2.338557,0.000892,0.064391,0.0,0.002304,2.269145,2.266841,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_joint,original,0,structure,qualified,13.178973,13.178172,13.181675,0.000801,0.062868,8.459001,0.001983,4.654177,4.652194,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_joint,original,0,restore,qualified,13.4869,13.485998,13.489539,0.000902,0.065923,8.764304,0.002234,4.653797,4.651563,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_joint,completion_projected,0,initial,qualified,9.764861,9.40679,9.770024,0.358071,0.083917,4.820569,0.002796,4.499538,4.496742,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_joint,completion_projected,0,repeat,qualified,2.639229,2.365586,2.641583,0.273643,0.080651,0.0,0.002535,2.283162,2.280627,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_joint,completion_projected,0,counts,qualified,2.589536,2.326202,2.59175,0.263334,0.078938,0.0,0.002154,2.245691,2.243537,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_joint,completion_projected,0,masks,qualified,5.627703,5.312782,5.630343,0.314921,0.079198,0.0,1.076379,5.231911,4.155532,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_joint,completion_projected,0,metadata,qualified,2.597421,2.323658,2.599684,0.273763,0.083937,0.0,0.002245,2.238067,2.235822,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_joint,completion_projected,0,structure,qualified,8.861747,8.596159,8.864333,0.265588,0.079218,4.454463,0.001754,4.060494,4.05874,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_joint,completion_projected,0,restore,qualified,8.934524,8.646985,8.937189,0.287539,0.061655,4.530656,0.001904,4.052529,4.050625,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,storm_sparse,original,0,initial,qualified,5.164525,5.163503,5.169373,0.001022,0.095268,2.753252,0.002715,2.312816,2.310101,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,storm_sparse,original,0,repeat,qualified,2.080231,2.075411,2.082949,0.00482,0.072105,0.0,0.003277,2.001574,1.998297,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,storm_sparse,original,0,counts,qualified,2.153909,2.14922,2.156297,0.004689,0.076814,0.0,0.148929,2.070803,1.921874,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,storm_sparse,original,0,masks,qualified,4.671159,4.670217,4.673627,0.000942,0.067737,0.0,2.488096,4.600847,2.112751,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,storm_sparse,original,0,metadata,qualified,2.15414,2.152827,2.156648,0.001313,0.067947,0.0,0.002224,2.083106,2.080882,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,storm_sparse,original,0,structure,qualified,3.594981,3.594159,3.597337,0.000822,0.068208,1.443668,0.001994,2.080361,2.078367,True,
